ordem_item;restaurant_id;source_product_id;categoria;produto;source_step_id;etapa;descricao_etapa;tipo_etapa;etapa_obrigatoria;quantidade_minima_etapa;quantidade_etapa;source_component_id;source_variant_id;nome_variante_componente;descricao;preco_reais;preco_bruto_api;tratamento_preco;ativo_na_fonte;quantidade_maxima_componente;source_file;json_pointer;status_revisao;observacoes_ike
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19361;Pré-Couvert (Treneze);Trio;unica;true;1;1;74735;94545;Pururuca;Pele suina desidratada.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/0/complements/0;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19361;Pré-Couvert (Treneze);Trio;unica;true;1;1;74736;94546;Onion Ring;Cebola empanada crocante.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/0/complements/1;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19361;Pré-Couvert (Treneze);Trio;unica;true;1;1;74737;94547;Batata Chips;Fatias finas com testura leve e crocante.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/0/complements/2;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19362;Couvert;;unica;false;0;1;74740;94550;Mini Pastel de Queijo;Petisco tradicional brasileiro de massa le e recheio cremoso.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/1/complements/0;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19362;Couvert;;unica;false;0;1;74741;94551;Pão de Queijo;ícone da culinária mineira, a base de polvilho e queijo.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/1/complements/1;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19362;Couvert;;unica;false;0;1;74742;94552;Antepasto do dia;Manteiga com carvão ativado, flor de sal,;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/1/complements/2;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19363;Tour do Mar;;unica;false;1;1;74743;94553;Tartar de Salmão;Salmao picado na ponta da faca, cebola roxa, azeite extra virgem, flor de sal e suco de limão.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/2/complements/0;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19363;Tour do Mar;;unica;false;1;1;74744;94554;Ceviche de Frutos do Mar;Polvo, lulas, camarão e, salmão e ovas negras envoltos em molho oriental, cebola roxa, azeite e suco de limão.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/2/complements/1;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19363;Tour do Mar;;unica;false;1;1;74745;94555;Ostra Fresca;Servidas com molho oriental, suco de limão e ovas vermelhas.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/2/complements/2;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19363;Tour do Mar;;unica;false;1;1;74746;94556;Camarões;Servido com Sweet Chili e limão.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/2/complements/3;PENDENTE;
