ordem;restaurant_id;categoria;caminho_categorias;nome;descricao;preco_referencia_reais;origem_preco_referencia;preco_source_file;preco_json_pointer;price_bruto_api;default_price_bruto_api;display_default_price_na_fonte;tipo_produto_api;ativo_na_fonte;visivel_na_fonte;source_id;json_pointer;variantes_e_componentes;sinalizacoes;status_revisao;observacoes_ike
1;freneze;Experiência Frêneze;Experiência Frêneze;Experiência Frêneze;consulte o Garçon.;349,00;default_price do composto, exibido pelo componente publico;raw_catalogo.json;/0/products/0/default_price;0;349;false;9;true;true;94531;/0/products/0;Pré-Couvert (Treneze) > Pururuca: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Pré-Couvert (Treneze) > Onion Ring: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Pré-Couvert (Treneze) > Batata Chips: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Couvert > Mini Pastel de Queijo: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Couvert > Pão de Queijo: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Couvert > Antepasto do dia: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Tour do Mar > Tartar de Salmão: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Tour do Mar > Ceviche de Frutos do Mar: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Tour do Mar > Ostra Fresca: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Tour do Mar > Camarões: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Saladas > Salada Caesar Crispy: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Saladas > Salada Frêneze: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Saladas > Salada Mediterrânea: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Provoleta: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Bolinho da Vovó: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Croqueta de Morcilla: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Golden Ball: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Coxinha de Costela: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Tempurá de Milho: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Tataki de Atum: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Ostra Fresca: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Ostras Gratinadas: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Steak Tartare Defumado: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Beef Tonnato: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Carpaccio Parrileiro: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Entradas > Carpaccio Gratinado: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Linguiças e Embutidos > Linguiça Apimentada: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Linguiças e Embutidos > Linguiça de Cachaça: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Linguiças e Embutidos > LInguiça Frêneze: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Linguiças e Embutidos > Morcilla: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Linguiças e Embutidos > Salsicha Weisswurst: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Picanha: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Bife Ancho: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Ojo de Bife: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Flat Iron: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Denver Steak: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Bife de Chorizo: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Fraldinha: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Assado de Tira: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Sobrecoxa Desossada: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Costela Francesa: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Costelinha BBQ: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Contra Filet de Cordeiro: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Proteínas e Cortes > Salmão: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Arroz Biro-Biro: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Arroz Oswaldo Aranha: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Arroz Caldoso: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Aligot de Batata: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Salada de Batata Morna: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Creme de Milho Tostado: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Batata Frita: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Farofa de Ovo: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Farofa de Limão: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Legumes Grelhados: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Palmito Pupunha: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Shitake na Manteiga: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE) | Adicionais > Massa do Dia: 0,00 (SEM_COBRANCA_SEPARADA_NA_FONTE);COMPOSTO_COM_ETAPAS_PRECO_DEFAULT;PENDENTE;
2;freneze;Couvert Frêneze;Menu Principal > Couvert Frêneze;Couvert;Pão, manteiga, jamón, mini Pastel de Queijo, pão de Queijo;47,00;price do produto simples;raw_catalogo.json;/1/children/0/products/0/price;47;0;true;1;true;true;98376;/1/children/0/products/0;;;PENDENTE;
3;freneze;Entradas;Menu Principal > Entradas;Provoleta 250g;Queijo Provolone tostado na parrilla e servido com chimi churri.;68,00;price do produto simples;raw_catalogo.json;/1/children/1/products/0/price;68;0;true;1;true;true;98357;/1/children/1/products/0;;;PENDENTE;
4;freneze;Entradas;Menu Principal > Entradas;Bolinho da Vovó 40g;Bolinho de arroz recheado com queijo.;42,00;price do produto simples;raw_catalogo.json;/1/children/1/products/1/price;42;0;true;1;true;true;98358;/1/children/1/products/1;;;PENDENTE;
5;freneze;Entradas;Menu Principal > Entradas;Dadinho de Tapioca 40G;Tradicional receita nordestina a base de Tapioca granulada e queijo.;47,00;price do produto simples;raw_catalogo.json;/1/children/1/products/2/price;47;0;true;1;true;true;99614;/1/children/1/products/2;;;PENDENTE;
6;freneze;Entradas;Menu Principal > Entradas;Croqueta de Morcilla 40g;Bolinho cremoso feito com morcilla.;58,00;price do produto simples;raw_catalogo.json;/1/children/1/products/3/price;58;0;true;1;true;true;98360;/1/children/1/products/3;;;PENDENTE;
7;freneze;Entradas;Menu Principal > Entradas;Golden Ball 40g;Bolinho a base de queijo Parmesão 12 meses.;51,00;price do produto simples;raw_catalogo.json;/1/children/1/products/4/price;51;0;true;1;true;true;98361;/1/children/1/products/4;;;PENDENTE;
8;freneze;Entradas;Menu Principal > Entradas;Coxinha de Costela 150g;coxinha cremosa de costela assada lentamente.;54,00;price do produto simples;raw_catalogo.json;/1/children/1/products/5/price;54;0;true;1;true;true;98362;/1/children/1/products/5;;;PENDENTE;
9;freneze;Entradas;Menu Principal > Entradas;Tempurá de Milho 300g;Bolinho feito com milho tostado na parilla.;42,00;price do produto simples;raw_catalogo.json;/1/children/1/products/6/price;42;0;true;1;true;true;98363;/1/children/1/products/6;;;PENDENTE;
10;freneze;Entradas;Menu Principal > Entradas;Tataki de Atum 300g;Atum selado, molho Tonkatsu e tgare de gergelim torrado.;129,00;price do produto simples;raw_catalogo.json;/1/children/1/products/7/price;129;0;true;1;true;true;98364;/1/children/1/products/7;;;PENDENTE;
