ordem_item;restaurant_id;categoria;nome_item;source_item_id;source_option_id;rotulo_original;preco_bruto_centavos;preco_reais;promo_preco_bruto_centavos;promo_ativa;desativada;min_original;modifier_original;json_pointer;estado_fonte;status_revisao_humana;observacoes_ike
30;madonna_cucina;| Luce;Pelle;691b19d4308a9fdefff6c0d5;6a21c7f047eb8277f83782cc;;6200;62,00;0;false;false;0;False;/1/menus/0/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
31;madonna_cucina;| Luce;Primavera;691b19ea308a9fdefff6c23f;69e0ed6bf4731091155c3d6b;;5800;58,00;0;false;false;0;False;/1/menus/0/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
32;madonna_cucina;| Luce;Solaris del Giardino;691b1a09308a9fdefff6c421;6a0b7f80810ac84559c0737d;;5800;58,00;0;false;false;0;False;/1/menus/0/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
33;madonna_cucina;| Ombra;Dolce e Nero;691b1a70308a9fdefff6cf7a;6a0b7fb15c403f89ab857e18;;9800;98,00;0;false;false;0;False;/1/menus/1/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
34;madonna_cucina;| Ombra;Terracota;691b1a83308a9fdefff6d035;69275e051286fbb165ccbc7c;;6200;62,00;0;false;false;0;False;/1/menus/1/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
35;madonna_cucina;| Ombra;Vespro;691b1a92308a9fdefff6d121;6a0b7ff65c403f89ab85804b;;8800;88,00;0;false;false;0;False;/1/menus/1/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
36;madonna_cucina;| Releituras Madonna;Rosso Madonna;691b1a28308a9fdefff6c650;6a0b8066810ac84559c07a19;;6600;66,00;0;false;false;0;False;/1/menus/2/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
37;madonna_cucina;| Releituras Madonna;Negroni D’Oro;691b1a46308a9fdefff6cc37;6a0b81f4810ac84559c08b5b;;6600;66,00;0;false;false;0;False;/1/menus/2/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
38;madonna_cucina;| Releituras Madonna;Veludo Nero;691b1a5b308a9fdefff6ce6c;69275e981286fbb165ccde86;;7200;72,00;0;false;false;0;False;/1/menus/2/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
39;madonna_cucina;| Releituras Madonna;Negroni Du Papi ;69f8c7ce55153376bd08f4c6;69f8c88555153376bd090dec;;6600;66,00;0;false;false;0;False;/1/menus/2/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
40;madonna_cucina;| Spritz;Sbagliato;69245d546c464a20549b20c3;69275f191286fbb165ccf3a9;;5200;52,00;0;false;false;0;False;/1/menus/3/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
41;madonna_cucina;| Spritz;Aperol Spritz;69245d6a6c464a20549b240d;69275f451286fbb165ccfe46;;5600;56,00;0;false;false;0;False;/1/menus/3/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
42;madonna_cucina;| Spritz;Bellini;69245d796c464a20549b2684;69275f961286fbb165cd0f8a;;5000;50,00;0;false;false;0;False;/1/menus/3/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
43;madonna_cucina;| Clássicos;Negroni ;691b1aab308a9fdefff6d2f8;6a0b823b810ac84559c0901d;;5800;58,00;0;false;false;0;False;/1/menus/4/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
44;madonna_cucina;| Clássicos;Americano;691b1ab9308a9fdefff6d3a4;69275ff01286fbb165cd2328;;5200;52,00;0;false;false;0;False;/1/menus/4/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
45;madonna_cucina;| Clássicos;Boulevardier;691b1ac7308a9fdefff6d4b5;69245dd16c464a20549b3800;;5800;58,00;0;false;false;0;False;/1/menus/4/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
46;madonna_cucina;| Clássicos;Amaretto Sour ;691b1b47308a9fdefff6df23;6927602d1286fbb165cd32ac;;5600;56,00;0;false;false;0;False;/1/menus/4/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
47;madonna_cucina;| Clássicos;Dry Martini ;691b1b54308a9fdefff6e00d;692760901286fbb165cd4bc0;;5800;58,00;0;false;false;0;False;/1/menus/4/menuItems/4/options/0;FONTE_VERIFICADA;PENDENTE;
48;madonna_cucina;| Clássicos;Fitzgerald;691b1b61308a9fdefff6e0aa;692760b91286fbb165cd55f3;;5800;58,00;0;false;false;0;False;/1/menus/4/menuItems/5/options/0;FONTE_VERIFICADA;PENDENTE;
49;madonna_cucina;| Clássicos;Penicillin;691b1b6d308a9fdefff6e1be;692760d91286fbb165cd5dad;;6200;62,00;0;false;false;0;False;/1/menus/4/menuItems/6/options/0;FONTE_VERIFICADA;PENDENTE;
50;madonna_cucina;| Clássicos;Whisky Sour;691b1b3a308a9fdefff6ddc3;692761091286fbb165cd6781;;5400;54,00;0;false;false;0;False;/1/menus/4/menuItems/7/options/0;FONTE_VERIFICADA;PENDENTE;
51;madonna_cucina;| Clássicos;Cosmopolitan;691b1b1a308a9fdefff6da8f;692761a51286fbb165cd7e32;;5600;56,00;0;false;false;0;False;/1/menus/4/menuItems/8/options/0;FONTE_VERIFICADA;PENDENTE;
52;madonna_cucina;| Clássicos;Espresso Martini;691b1b2c308a9fdefff6dc9b;69245e8a6c464a20549b6405;;5600;56,00;0;false;false;0;False;/1/menus/4/menuItems/9/options/0;FONTE_VERIFICADA;PENDENTE;
53;madonna_cucina;| Clássicos;Margarita;691b1b0c308a9fdefff6d9c1;692761c51286fbb165cd8569;;5800;58,00;0;false;false;0;False;/1/menus/4/menuItems/10/options/0;FONTE_VERIFICADA;PENDENTE;
54;madonna_cucina;| Clássicos;Gin & Tônica;69245eb16c464a20549b686a;692761f01286fbb165cd8f5e;;5200;52,00;0;false;false;0;False;/1/menus/4/menuItems/11/options/0;FONTE_VERIFICADA;PENDENTE;
55;madonna_cucina;| Clássicos;Carajillo;69245ecc6c464a20549b6af6;692762031286fbb165cd92db;;5400;54,00;0;false;false;0;False;/1/menus/4/menuItems/12/options/0;FONTE_VERIFICADA;PENDENTE;
56;madonna_cucina;| Clássicos Brasileiro;Macunaima;69245fd66c464a20549b99e7;6927625a1286fbb165cda56c;;5200;52,00;0;false;false;0;False;/1/menus/5/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
57;madonna_cucina;| Clássicos Brasileiro;Rabo de Galo;69245ff26c464a20549ba395;692762721286fbb165cdab23;;5200;52,00;0;false;false;0;False;/1/menus/5/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
58;madonna_cucina;| Mocktails;Bellini Bianco;691b1b8d308a9fdefff6e45f;6a0b8045235c51ddf5ce8fe9;;3600;36,00;0;false;false;0;False;/1/menus/6/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
59;madonna_cucina;| Mocktails;Acqua Verde;691b1bcc308a9fdefff6eb4d;6a0b8023235c51ddf5ce8d81;;3400;34,00;0;false;false;0;False;/1/menus/6/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
60;madonna_cucina;Cervejas;Birra Moretti;691b1d25308a9fdefff70cd2;69e104c6f47310911560f09f;;6600;66,00;0;false;false;0;False;/1/menus/7/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
61;madonna_cucina;| Softs;Água Sem Gás;691b1d08308a9fdefff70906;69e105b8f4731091156125ed;;1200;12,00;0;false;false;0;False;/1/menus/8/menuItems/0/options/0;FONTE_VERIFICADA;PENDENTE;
62;madonna_cucina;| Softs;Água com Gás;691b1ce3308a9fdefff70541;69e105c8f473109115612823;;1200;12,00;0;false;false;0;False;/1/menus/8/menuItems/1/options/0;FONTE_VERIFICADA;PENDENTE;
63;madonna_cucina;| Softs;Aqua Panna;691b1d17308a9fdefff709f1;69e0f7339564903b73d23711;;3600;36,00;0;false;false;0;False;/1/menus/8/menuItems/2/options/0;FONTE_VERIFICADA;PENDENTE;
64;madonna_cucina;| Softs;San Pellegrino;691b1c09308a9fdefff6f3f7;69e0f993f4731091155e2638;;3600;36,00;0;false;false;0;False;/1/menus/8/menuItems/3/options/0;FONTE_VERIFICADA;PENDENTE;
65;madonna_cucina;| Softs;Coca-Cola;691b1d42308a9fdefff70fa2;69e0fa1af4731091155e456f;KS;1200;12,00;0;false;false;0;False;/1/menus/8/menuItems/4/options/0;FONTE_VERIFICADA;PENDENTE;
66;madonna_cucina;| Softs;Coca-Cola Zero ;691b1d4e308a9fdefff710b5;69e0fa2bf4731091155e4b1c;KS;1200;12,00;0;false;false;0;False;/1/menus/8/menuItems/5/options/0;FONTE_VERIFICADA;PENDENTE;
