ordem;restaurant_id;categoria;caminho_categorias;source_category_ids;source_id;tipo_original;nome;descricao;preco_direto_centavos;preco_fonte_centavos;preco_fonte_reais;origem_preco;preco_json_pointer;json_pointer;opcoes;sinalizacoes;estado_fonte;status_revisao_humana;observacoes_ike
1;madonna_cucina;| Antipasti;Menu Principal > | Antipasti;691390df308a9fdefff0ca64 > 691390ed308a9fdefff0cc23;6928d4ecb2a149fefa0bbc50;dish;Couvert;"Pão de fermentação natural, molho pomodoro e founduta de queijo fontina
";3200;3200;32,00;price direto;/0/menus/0/menuItems/0/price;/0/menus/0/menuItems/0;;;FONTE_VERIFICADA;PENDENTE;
2;madonna_cucina;| Antipasti;Menu Principal > | Antipasti;691390df308a9fdefff0ca64 > 691390ed308a9fdefff0cc23;691390ff308a9fdefff0cf3e;dish;Carne Cruda;"Corte na ponta da faca, sour de mostarda e queijo Tulha.
";10808;10808;108,08;price direto;/0/menus/0/menuItems/1/price;/0/menus/0/menuItems/1;;PRECO_COM_CENTAVOS_CONFIRMAR_SE_INTENCIONAL;FONTE_VERIFICADA;PENDENTE;
3;madonna_cucina;| Antipasti;Menu Principal > | Antipasti;691390df308a9fdefff0ca64 > 691390ed308a9fdefff0cc23;69139110308a9fdefff0d4cc;dish;Burrata;"Burrata feita na casa, caponata, balsâmico. 
";9600;9600;96,00;price direto;/0/menus/0/menuItems/2/price;/0/menus/0/menuItems/2;;;FONTE_VERIFICADA;PENDENTE;
4;madonna_cucina;| Antipasti;Menu Principal > | Antipasti;691390df308a9fdefff0ca64 > 691390ed308a9fdefff0cc23;69139122308a9fdefff0d722;dish;Crocchetta;Croqueta de cebola caramelizada, atum cru e bottarga.;7600;7600;76,00;price direto;/0/menus/0/menuItems/3/price;/0/menus/0/menuItems/3;;;FONTE_VERIFICADA;PENDENTE;
5;madonna_cucina;| Antipasti;Menu Principal > | Antipasti;691390df308a9fdefff0ca64 > 691390ed308a9fdefff0cc23;69139134308a9fdefff0d8d1;dish;Supplì Carbonara;Bolinho crocante de arroz recheado com gema cremosa, queijo parmesão e prosciutto;8200;8200;82,00;price direto;/0/menus/0/menuItems/4/price;/0/menus/0/menuItems/4;;;FONTE_VERIFICADA;PENDENTE;
6;madonna_cucina;| Antipasti;Menu Principal > | Antipasti;691390df308a9fdefff0ca64 > 691390ed308a9fdefff0cc23;69139146308a9fdefff0dbd5;dish;Lasagna d’Anatra e Fegato Grasso;"Lasanha de pato, creme trufado e foie gras.
";13200;13200;132,00;price direto;/0/menus/0/menuItems/5/price;/0/menus/0/menuItems/5;;;FONTE_VERIFICADA;PENDENTE;
7;madonna_cucina;| Antipasti;Menu Principal > | Antipasti;691390df308a9fdefff0ca64 > 691390ed308a9fdefff0cc23;69139155308a9fdefff0dd25;dish;Vitello Tonnato;Finas fatias de vitela, creme de atum e tinta de lula.;8600;8600;86,00;price direto;/0/menus/0/menuItems/6/price;/0/menus/0/menuItems/6;;;FONTE_VERIFICADA;PENDENTE;
8;madonna_cucina;| Antipasti;Menu Principal > | Antipasti;691390df308a9fdefff0ca64 > 691390ed308a9fdefff0cc23;6913916a308a9fdefff0df05;dish;Carpaccio di Mare;"Carpaccio de polvo, limão-siciliano e funcho.
";9200;9200;92,00;price direto;/0/menus/0/menuItems/7/price;/0/menus/0/menuItems/7;;;FONTE_VERIFICADA;PENDENTE;
9;madonna_cucina;| Antipasti;Menu Principal > | Antipasti;691390df308a9fdefff0ca64 > 691390ed308a9fdefff0cc23;699c80b0b1ab05231530bde8;dish;Piadina Wagyu;Massa crocante, emulsão trufada, Wagyu laminado e queijo Grana.;9800;9800;98,00;price direto;/0/menus/0/menuItems/8/price;/0/menus/0/menuItems/8;;;FONTE_VERIFICADA;PENDENTE;
10;madonna_cucina;| Primi;Menu Principal > | Primi;691390df308a9fdefff0ca64 > 691391db308a9fdefff0f047;691391f5308a9fdefff0f499;dish;Cacio e Pepe;Rigatoni cacio e pepe finalizado com bottarga.;11800;11800;118,00;price direto;/0/menus/1/menuItems/0/price;/0/menus/1/menuItems/0;;;FONTE_VERIFICADA;PENDENTE;
11;madonna_cucina;| Primi;Menu Principal > | Primi;691390df308a9fdefff0ca64 > 691391db308a9fdefff0f047;69139206308a9fdefff0f679;dish;All’Arrabbiata;Trofie ao molho arrabbiata, polvo, guanciale e stracciatella.;12800;12800;128,00;price direto;/0/menus/1/menuItems/1/price;/0/menus/1/menuItems/1;;;FONTE_VERIFICADA;PENDENTE;
12;madonna_cucina;| Primi;Menu Principal > | Primi;691390df308a9fdefff0ca64 > 691391db308a9fdefff0f047;6913928c308a9fdefff1084b;dish;Tagliolini ai Gamberi;Tagliolini ao bisque e camarão em suas versões.;22000;22000;220,00;price direto;/0/menus/1/menuItems/2/price;/0/menus/1/menuItems/2;;;FONTE_VERIFICADA;PENDENTE;
13;madonna_cucina;| Primi;Menu Principal > | Primi;691390df308a9fdefff0ca64 > 691391db308a9fdefff0f047;691392ae308a9fdefff110eb;dish;Lasagna La Donna;Lasanha à bolonhesa, melão. ;14900;14900;149,00;price direto;/0/menus/1/menuItems/3/price;/0/menus/1/menuItems/3;;;FONTE_VERIFICADA;PENDENTE;
14;madonna_cucina;| Primi;Menu Principal > | Primi;691390df308a9fdefff0ca64 > 691391db308a9fdefff0f047;691392cf308a9fdefff11840;dish;Cappelletti in Brodo;Mini ravioli recheado com carne bovina e caldo claro;17200;17200;172,00;price direto;/0/menus/1/menuItems/4/price;/0/menus/1/menuItems/4;;;FONTE_VERIFICADA;PENDENTE;
15;madonna_cucina;| Primi;Menu Principal > | Primi;691390df308a9fdefff0ca64 > 691391db308a9fdefff0f047;692723f44a2d3584de4c70b3;dish;Alla Carbonara;Massa longa, gema caipira, pecorino, guanciale e pimenta preta.;11900;11900;119,00;price direto;/0/menus/1/menuItems/5/price;/0/menus/1/menuItems/5;;;FONTE_VERIFICADA;PENDENTE;
