ordem_item;categoria;nome_item;nivel;rotulo_original;preco_bruto_centavos;preco_reais;desativado_na_fonte;source_id;json_pointer;status_revisao;observacoes_ike
32;Sanduiches & Burger;Cheese Burger;opcao;Adicional;;;false;6a94aeed7419514252a6b48f;/body/0/menus/4/menuItems/0/options/0;PENDENTE;
32;Sanduiches & Burger;Cheese Burger;filho;Adicional / Bacon;800;8,00;false;6a94aeed7419514252a6b490;/body/0/menus/4/menuItems/0/options/0/sons/0;PENDENTE;
32;Sanduiches & Burger;Cheese Burger;filho;Adicional / Salada;600;6,00;false;6a94aeed7419514252a6b491;/body/0/menus/4/menuItems/0/options/0/sons/1;PENDENTE;
86;Sobremesas;Sorvetes Tradicionais;opcao;Sabor;;;false;6aa0a91af65d35652966f87c;/body/1/menus/0/menuItems/6/options/0;PENDENTE;
86;Sobremesas;Sorvetes Tradicionais;filho;Sabor / Creme;0;0,00;false;6aa0a91af65d35652966f87d;/body/1/menus/0/menuItems/6/options/0/sons/0;PENDENTE;
86;Sobremesas;Sorvetes Tradicionais;filho;Sabor / Canela;0;0,00;false;6aa0a91af65d35652966f87e;/body/1/menus/0/menuItems/6/options/0/sons/1;PENDENTE;
87;Sobremesas;Sorvete Zero;opcao;Sabores;;;false;6aa0a8fcf65d35652966f1fb;/body/1/menus/0/menuItems/7/options/0;PENDENTE;
87;Sobremesas;Sorvete Zero;filho;Sabores / Doce de leite;0;0,00;true;6aa0a8fcf65d35652966f1fc;/body/1/menus/0/menuItems/7/options/0/sons/0;PENDENTE;
87;Sobremesas;Sorvete Zero;filho;Sabores / Pistache;0;0,00;true;6aa0a8fcf65d35652966f1fd;/body/1/menus/0/menuItems/7/options/0/sons/1;PENDENTE;
91;Soft;Água Pura sem gás;opcao;300ml;900;9,00;false;674e5c17973ffde0900681fb;/body/2/menus/0/menuItems/0/options/0;PENDENTE;
92;Soft;Água Pura com gás;opcao;300ml;900;9,00;false;674e5bc3973ffde090066d3e;/body/2/menus/0/menuItems/1/options/0;PENDENTE;
93;Soft;San Pellegrino;opcao;505ml;3600;36,00;false;6a2d7550fcab3a0b4af0beff;/body/2/menus/0/menuItems/2/options/0;PENDENTE;
94;Soft;Acqua Panna;opcao;500ml;3600;36,00;false;6a2d755ffcab3a0b4af0c043;/body/2/menus/0/menuItems/3/options/0;PENDENTE;
95;Soft;Água De Coco;opcao;[sem rotulo];1800;18,00;false;6a99a8883b6a6e995013fe31;/body/2/menus/0/menuItems/4/options/0;PENDENTE;
96;Soft;Coca-Cola;opcao;[sem rotulo];1200;12,00;false;6a4957886ae208b30e7001ed;/body/2/menus/0/menuItems/5/options/0;PENDENTE;
97;Soft;Coca-Cola Zero;opcao;[sem rotulo];1200;12,00;false;6a4957976ae208b30e70051c;/body/2/menus/0/menuItems/6/options/0;PENDENTE;
98;Soft;Guaraná;opcao;[sem rotulo];1200;12,00;false;6a4957aa6ae208b30e700835;/body/2/menus/0/menuItems/7/options/0;PENDENTE;
99;Soft;Guaraná Zero;opcao;[sem rotulo];1200;12,00;false;6a4957f66ae208b30e701517;/body/2/menus/0/menuItems/8/options/0;PENDENTE;
100;Soft;Tônica schweppes;opcao;[sem rotulo];1200;12,00;false;6a2d7648fcab3a0b4af0d4c2;/body/2/menus/0/menuItems/9/options/0;PENDENTE;
101;Soft;Red Bull Sugar Free;opcao;[sem rotulo];2200;22,00;false;6a4958056ae208b30e70191b;/body/2/menus/0/menuItems/10/options/0;PENDENTE;
102;Soft;Red Bull Tradicional;opcao;[sem rotulo];2200;22,00;false;6a4958166ae208b30e701d8a;/body/2/menus/0/menuItems/11/options/0;PENDENTE;
103;Soft;Red Bull  Tropical;opcao;[sem rotulo];2200;22,00;false;6a4958256ae208b30e702119;/body/2/menus/0/menuItems/12/options/0;PENDENTE;
104;Sucos Clássicos;Melancia;opcao;350ml;1800;18,00;false;6655626b56e3c4ab17993eef;/body/2/menus/1/menuItems/0/options/0;PENDENTE;
105;Sucos Clássicos;Laranja;opcao;350ml;1900;19,00;false;665562781ba846034d1f517e;/body/2/menus/1/menuItems/1/options/0;PENDENTE;
106;Sucos Clássicos;Limonada;opcao;350ml;1900;19,00;false;6655629c56e3c4ab17994030;/body/2/menus/1/menuItems/2/options/0;PENDENTE;
107;Sucos Meet;Suco de Tomate;opcao;350ml;3400;34,00;false;6a2d77975f1b7fe38c88cb37;/body/2/menus/2/menuItems/0/options/0;PENDENTE;
108;Sucos Meet;Uva com água de coco;opcao;350ml;2100;21,00;false;665562cf1ba846034d1f5418;/body/2/menus/2/menuItems/1/options/0;PENDENTE;
109;Drinks sem álcool;Pink Day;opcao;[sem rotulo];2800;28,00;false;68f2d32fd1dade937200c543;/body/2/menus/3/menuItems/0/options/0;PENDENTE;
110;Drinks sem álcool;Raspberry Sunset;opcao;[sem rotulo];2800;28,00;false;65e0fb63da37e20071bcabba;/body/2/menus/3/menuItems/1/options/0;PENDENTE;
111;Drinks sem álcool;Sweet and Sour;opcao;[sem rotulo];2800;28,00;false;68f3e0ff03fe8fa9706a68f6;/body/2/menus/3/menuItems/2/options/0;PENDENTE;
112;Drinks sem álcool;Soda Meet;opcao;[sem rotulo];2800;28,00;false;68f2d275d1dade937200604b;/body/2/menus/3/menuItems/3/options/0;PENDENTE;
113;Drinks sem álcool;Soneto de Camomila;opcao;[sem rotulo];2800;28,00;false;68f3e2a18bff0a54e7fcdc95;/body/2/menus/3/menuItems/4/options/0;PENDENTE;
114;Drinks Autorais;Caju Amigo Do Meet&Eat;opcao;[sem rotulo];5600;56,00;false;698bbb961909443c72e53535;/body/2/menus/4/menuItems/0/options/0;PENDENTE;
115;Drinks Autorais;Darkness;opcao;[sem rotulo];5600;56,00;false;65cba26fb4cea6006abcdd49;/body/2/menus/4/menuItems/1/options/0;PENDENTE;
116;Drinks Autorais;Holy Grass;opcao;[sem rotulo];5800;58,00;false;6a4951546ae208b30e6ed5c5;/body/2/menus/4/menuItems/2/options/0;PENDENTE;
117;Drinks Autorais;Summer Mule;opcao;[sem rotulo];5600;56,00;false;68f2ab7e5bd06488cd4b53b3;/body/2/menus/4/menuItems/3/options/0;PENDENTE;
118;Drinks Autorais;No Name;opcao;[sem rotulo];5600;56,00;false;65cba611b4cea6006abce6c6;/body/2/menus/4/menuItems/4/options/0;PENDENTE;
119;Drinks Autorais;Raio de Sol;opcao;[sem rotulo];5600;56,00;false;666b73d6d91d31d1821100bc;/body/2/menus/4/menuItems/5/options/0;PENDENTE;
120;Drinks Autorais;Passion Fitz;opcao;[sem rotulo];6700;67,00;false;66e0bddd22a75a1032aa4dcc;/body/2/menus/4/menuItems/6/options/0;PENDENTE;
